Tweet,Classe
"Um acidente na rodovia MGC 135 causa duas mortes e deixa cinco feridos, nesta quinta-feira de feriado, em Engenheiro Navarro, região Norte de Minas.

Segundo o corpo de bombeiros, uma colisão entre uma caminhonete e um veículo de passeio fez um total de 7 vítimas.
+ https://t.co/KLtcFC3OMV",0
"Nesta sexta-feira, o Tribunal de Apelação Inglês acatou o pedido de oitiva das demandas das vítimas do rompimento da barragem do Fundão, em 2015, em Mariana, na região Central de Minas.

🔗 Leia mais: 

https://t.co/mThqsm5DtH",0
"De acordo com a CEMIG, apesar da região metropolitana de Belo Horizonte representar 30% dos clientes da companhia, a Grande BH concentra aproximadamente 60% das perdas que a empresa tem com o furto de energia através dos ""gatos"".
+ https://t.co/oghjYKLdeg https://t.co/D4LlLMb6Ak",0
"PERRENGUE NADA CHIQUE NO DETRAN 🚘

Motoristas enfrentam longas filas no acesso ao Detran, na Gameleira, região Oeste de BH. A demora no atendimento acontece por causa da paralisação dos servidores da Polícia Civil.",0
"Nesta sexta-feira, o Tribunal de Apelação Inglês acatou o pedido de oitiva das demandas das vítimas do rompimento da barragem do Fundão, em 2015, em Mariana, na região Central de Minas.

🔗 Leia mais: https://t.co/QDUqaxQi5i",0
"De acordo com a Polícia Militar (PMMG), uma denúncia anônima informou que um homem teria sido visto em uma região de mata, em Justinópolis, pilotando uma moto Honda Fan, vermelha - mesma motocicleta usada por Gabriel no dia do desaparecimento. 
https://t.co/oAGilJDmY1",0
"Um passageiro é retirado de um voo internacional e tem o passaporte apreendido pela Polícia Federal (PF) no Aeroporto Internacional de Belo Horizonte, em Confins, na Região Metropolitana. 

🔗Leia mais: https://t.co/Li61M4fYgn",0
"Um motorista, sem carteira de habilitação, #capotou o carro, na noite dessa quinta-feira (10), no bairro São Cristóvão, em #BeloHorizonte. De acordo com a polícia, ele estava em alta velocidade e confessou que bebeu cerveja antes de dirigir. https://t.co/AkYXv6BgC9",0
"Uma reunião de condomínio de militares no bairro Parque Jardim Maria José, em Vespasiano, na Grande BH, terminou em confusão, depois de o presidente do local abrir votação para prestação de contas.

📷: Redes Sociais https://t.co/1NUUT519W5",0
"ALERTA!!! 🚨

Seis em cada 10 mulheres vítimas de estupro atendidas no Hospital das Clínicas da UFMG, na região Central de Belo Horizonte, chegam grávidas à unidade. 

🔗 Leia mais: 

https://t.co/J0FCYt3JIM",0
